Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,Base fulfilment fee per unit,Base fulfilment fee quantity,Base fulfilment fee total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,FBA fulfilment fees per unit,FBA fulfilment fees quantity,FBA fulfilment fees total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,FixedClosingFee per unit,FixedClosingFee quantity,FixedClosingFee total,Inbound transportation charge per unit,Inbound transportation charge quantity,Inbound transportation charge total,Referral fee per unit,Referral fee quantity,Referral fee total,RefundCommissionFee per unit,RefundCommissionFee quantity,RefundCommissionFee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per unit
IN,03/25/2024,09/24/2024,B0D53WL71G,B0C85KL2K5,,GKL-L/Xl-FBA,INR,799,2,1,1,1598,799,,,,,,,,,,,,,35.4,2,70.8,1.81,10,18.1203,157.63,2,315.27,112.1,1,112.1,13.18,4,52.71,,,229.9997,230
IN,03/25/2024,09/24/2024,B0D541ZKYL,B0B693FGM6,,Knee and Ankle_L/XL combo_FBA,INR,1129,2,0,2,2258,2258,,,,,,,,,,,,,70.21,2,140.42,,,,253.12,2,506.24,,,,10.02,15,150.25,,,1461.09,730.54
IN,03/25/2024,09/24/2024,B0B1MWGM5Q,B0B1MWGM5Q,,Knee Sock_Black_S/M FBA,INR,719,2,0,2,1438,1438,,,,,,,,,,,,,35.4,2,70.8,,,,153.33,2,306.67,,,,14.67,1,14.67,,,1045.86,522.93
IN,03/25/2024,09/24/2024,B09CDLGTQ2,B09CDLGTQ2,,T-AL-ME_new,INR,390.15,2,1,1,780.3,431.3,,,,,,,,,,,,,10.62,2,21.24,,,,54.69,2,109.39,82.6,1,82.6,16.68,24,400.42,,,-182.35,-182.35
IN,03/25/2024,09/24/2024,B09CDLGTQ2,B09CDLGTQ2,,TAL S/M FBA,INR,399,2,0,2,798,798,16.52,2,33.04,74.34,2,148.68,16.52,2,33.04,11.8,33,389.4,14.16,2,28.32,,,,61.21,2,122.42,,,,8.43,4,33.71,,,42.43,21.21
IN,03/25/2024,09/24/2024,B0D92165QK,B0D91ZSRVL,,TKC L Blue2,INR,499,2,0,2,998,998,,,,,,,,,,,,,10.62,2,21.24,,,,66.02,2,132.05,,,,,,,,,844.71,422.35
IN,03/25/2024,09/24/2024,B0D92165QK,B0CNH32THD,,TKC XL,INR,499,2,1,1,998,499,,,,,,,,,,,,,10.62,2,21.24,,,,66.83,2,133.67,82.6,1,82.6,16.21,8,129.7,,,131.79,131.79
IN,03/25/2024,09/24/2024,B09Y5D7RZW,B09Y5D7RZW,,2B-2P58-1W34,INR,933.24,1,0,1,933.24,933.24,,,,,,,,,,,,,35.4,1,35.4,,,,181.4,1,181.4,,,,,,,,,716.44,716.44
IN,03/25/2024,09/24/2024,B09Y5F44PX,B09Y5F44PX,,Anke Sock_Black_Grey_Blue_S/M_PO3,INR,941.81,1,0,1,941.81,941.81,,,,,,,,,,,,,35.4,1,35.4,,,,201.56,1,201.56,,,,17.57,56,983.98,,,-279.13,-279.13
IN,03/25/2024,09/24/2024,B09Y5F44PX,B09Y5F44PX,,Anke Sock_Black_Grey_Blue_S/M_PO3_1,INR,941.8,1,0,1,941.8,941.8,,,,,,,,,,,,,35.4,1,35.4,,,,201.56,1,201.56,,,,16.36,3,49.09,,,655.75,655.75
IN,03/25/2024,09/24/2024,B09Y5F44PX,B09Y5F44PX,,Anke Sock_Black_Grey_Blue_S/M_PO3_FBA,INR,940.39,1,0,1,940.39,940.39,,,,,,,,,,,,,35.4,1,35.4,,,,198.19,1,198.19,,,,11.55,19,219.4,,,487.4,487.4
IN,03/25/2024,09/24/2024,B0C85W4TDM,B0C85W4TDM,,Anke Sock_Blue_S/M,INR,416.1,1,0,1,416.1,416.1,,,,,,,,,,,,,10.62,1,10.62,,,,58.15,1,58.15,,,,12.31,8,98.5,,,248.83,248.83
IN,03/25/2024,09/24/2024,B0CV3VVQLX,B0B1MWZ21J,,Ankle Sock_Blue_L/XL_NC_FBA,INR,397.1,1,0,1,397.1,397.1,,,,,,,,,,,,,10.62,1,10.62,,,,55.08,1,55.08,,,,17.51,78,1365.49,,,-1034.09,-1034.09
IN,03/25/2024,09/24/2024,B0B1MWV2D3,B0B1MWV2D3,,Ankle Sock_Blue_S/M_NC_FBA,INR,399,1,0,1,399,399,,,,,,,,,,,,,14.16,1,14.16,,,,70.62,1,70.62,,,,,,,,,314.22,314.22
IN,03/25/2024,09/24/2024,B0B1MXHW4H,B0B1MXHW4H,,Ankle Sock_Grey_L/XL_NC_FBA,INR,379,1,0,1,379,379,,,,,,,,,,,,,10.62,1,10.62,,,,55.84,1,55.84,,,,14.8,15,222.05,,,90.49,90.49
